# freq,|S21|,Phase
6.010000000000000000e+07,9.690720000000000445e-01,4.935430000000000206e+01
6.025000000000000000e+07,9.685369999999999813e-01,4.911970000000000169e+01
6.040000000000000000e+07,9.699480000000000324e-01,4.900909999999999656e+01
6.055000000000000000e+07,9.700199999999999934e-01,4.888790000000000191e+01
6.070000000000000000e+07,9.685899999999999510e-01,4.878560000000000230e+01
6.085000000000000000e+07,9.692089999999999872e-01,4.867680000000000007e+01
6.100000000000000000e+07,9.704099999999999948e-01,4.853419999999999845e+01
6.115000000000000000e+07,9.703040000000000553e-01,4.849710000000000321e+01
6.130000000000000000e+07,9.698430000000000106e-01,4.838289999999999935e+01
6.145000000000000000e+07,9.682150000000000478e-01,4.819720000000000226e+01
6.160000000000000000e+07,9.704199999999999493e-01,4.811129999999999995e+01
6.175000000000000000e+07,9.712779999999999747e-01,4.809250000000000114e+01
6.190000000000000000e+07,9.708309999999999995e-01,4.784089999999999776e+01
6.205000000000000000e+07,9.678759999999999586e-01,4.764410000000000167e+01
6.220000000000000000e+07,9.681499999999999551e-01,4.768370000000000175e+01
6.235000000000000000e+07,9.685399999999999565e-01,4.738719999999999999e+01
6.250000000000000000e+07,9.708790000000000475e-01,4.735969999999999658e+01
6.265000000000000000e+07,9.684760000000000035e-01,4.720580000000000354e+01
6.280000000000000000e+07,9.708949999999999525e-01,4.725000000000000000e+01
6.295000000000000000e+07,9.694789999999999797e-01,4.708140000000000214e+01
6.310000000000000000e+07,9.686299999999999910e-01,4.694339999999999691e+01
6.325000000000000000e+07,9.702739999999999698e-01,4.678909999999999769e+01
6.340000000000000000e+07,9.692290000000000072e-01,4.665469999999999828e+01
6.355000000000000000e+07,9.712180000000000257e-01,4.659349999999999881e+01
6.370000000000000000e+07,9.695230000000000237e-01,4.634170000000000300e+01
6.385000000000000000e+07,9.693279999999999674e-01,4.626590000000000202e+01
6.400000000000000000e+07,9.699290000000000411e-01,4.617130000000000223e+01
6.415000000000000000e+07,9.690149999999999597e-01,4.603810000000000002e+01
6.430000000000000000e+07,9.680969999999999853e-01,4.594720000000000226e+01
6.445000000000000000e+07,9.685270000000000268e-01,4.583550000000000324e+01
6.460000000000000000e+07,9.679929999999999923e-01,4.568019999999999925e+01
6.475000000000000000e+07,9.672269999999999479e-01,4.559239999999999782e+01
6.490000000000000000e+07,9.681720000000000326e-01,4.554990000000000094e+01
6.505000000000000000e+07,9.690180000000000460e-01,4.538360000000000127e+01
6.520000000000000000e+07,9.682020000000000071e-01,4.526610000000000156e+01
6.535000000000000000e+07,9.671939999999999982e-01,4.514809999999999945e+01
6.550000000000000000e+07,9.665040000000000298e-01,4.501899999999999835e+01
6.565000000000000000e+07,9.673220000000000152e-01,4.484839999999999804e+01
6.580000000000000000e+07,9.672119999999999607e-01,4.478620000000000090e+01
6.595000000000000000e+07,9.669999999999999707e-01,4.474040000000000106e+01
